,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy
376,Hillingdon - Brunel,13841.0,47.2,78.2,83.4
377,Newham - East Ham North,13866.0,92.8,71.3,76.9
378,Islington - Caledonian,13896.0,49.2,75.5,81.9
379,Ealing - Lady Margaret,13897.0,91.3,78.2,81.9
380,Hackney - Haggerston,13904.0,39.8,73.8,84.1
381,Ealing - Dormers Wells,13910.0,76.8,77.0,82.3
382,Waltham Forest - Hoe Street,13912.0,79.1,75.9,81.7
383,Enfield - Bush Hill Park,13923.0,61.1,79.6,84.0
384,Haringey - Noel Park,13939.0,53.0,74.8,84.7
385,Hillingdon - Uxbridge South,13979.0,36.6,75.1,81.8
386,Brent - Alperton,14017.0,87.6,76.7,87.0
387,Ealing - Ealing Common,14019.0,49.6,77.0,86.3
388,Ealing - Ealing Broadway,14029.0,49.7,79.7,85.0
389,Ealing - Norwood Green,14032.0,70.7,78.2,79.9
390,Hackney - Leabridge,14039.0,71.9,73.7,78.1
391,Lewisham - Blackheath,14039.0,56.8,77.4,82.4
392,Greenwich - Peninsula,14051.0,68.2,74.6,85.1
393,Enfield - Bowes,14051.0,85.4,78.5,83.8
394,Waltham Forest - Chapel End,14086.0,103.4,75.8,86.7
395,Hillingdon - Townfield,14106.0,94.6,74.8,79.4
396,Redbridge - Valentines,14123.0,99.7,75.9,86.4
397,Waltham Forest - High Street,14127.0,97.4,78.4,81.7
398,Southwark - Livesey,14129.0,80.0,77.0,81.5
399,Southwark - Newington,14136.0,48.1,77.5,83.2
400,Lambeth - Vassall,14143.0,47.1,74.3,82.1
401,Hammersmith and Fulham - Askew,14160.0,50.8,74.6,78.2
402,Wandsworth - Shaftesbury,14160.0,51.0,80.8,84.9
403,Tower Hamlets - Bethnal Green South,14166.0,51.0,77.1,87.3
404,Waltham Forest - Leyton,14184.0,83.6,79.0,80.7
405,Ealing - Hobbayne,14229.0,77.7,77.5,86.0
406,Lewisham - Whitefoot,14249.0,71.4,77.5,82.7
407,Redbridge - Chadwell,14257.0,90.5,77.9,81.8
408,Lambeth - Prince's,14262.0,65.9,74.5,81.5
409,Lambeth - Streatham Hill,14263.0,57.1,76.4,79.9
410,Croydon - Shirley,14296.0,71.4,83.0,85.4
411,Greenwich - Kidbrooke with Hornfair,14300.0,73.2,76.2,84.1
412,Lambeth - Streatham South,14336.0,69.3,81.3,84.5
413,Ealing - Greenford Green,14349.0,94.4,79.0,84.0
414,Hounslow - Brentford,14353.0,62.7,76.7,85.7
415,Enfield - Jubilee,14355.0,92.0,77.2,82.2
416,Islington - Finsbury Park,14358.0,46.8,74.2,78.8
417,Hillingdon - West Drayton,14370.0,77.9,75.3,81.9
418,Enfield - Turkey Street,14377.0,74.1,76.2,81.4
419,Greenwich - Charlton,14385.0,89.3,74.1,79.9
420,Southwark - Riverside,14390.0,50.0,78.0,80.8
421,Haringey - Northumberland Park,14429.0,81.7,73.8,84.0
422,Enfield - Southgate,14454.0,67.0,81.1,85.4
423,Tower Hamlets - Bromley-by-Bow,14480.0,80.8,76.3,83.0
424,Haringey - Bruce Grove,14483.0,83.9,75.2,83.0
